Sitename: Kendall Grassland Arizona USA
Location: Latitude: 31.7365  Longitude: -109.9419  Elevation (masl): 1531
Principal investigator: Russell Scott
Ecosystem type: GRA Grasslands
File creation date: 05APR2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2004,0,127.64583,127,1530,0.366,28.267,295.694,3.706,-9999,-3.781,-9999,264.137,-6999,89.88,-6999,35.551,40.159,5,26.669,15,0,10.615,85.116,371.628,3.432,1.17,12,409.342,1510.5,782.567,-6999,171,141.437,340.5,572.289,3.797,-6999,-6999,371.628,3.2,-6999,-6999,-6999,-6999
2004,0,127.66667,127,1600,0.315,28.196,290.954,4.062,-9999,-2.463,-9999,190.689,-6999,68.915,-6999,-13.26,39.99,5,27.222,15,0,10.484,85.088,371.623,3.423,1.33,11.83,346.078,1333,695.554,-6999,153,130.291,338.304,557.488,3.705,-6999,-6999,371.623,3.2,-6999,-6999,-6999,-6999
2004,0,127.68750,127,1630,0.184,28.186,298.334,4.347,-9999,-2.327,-9999,154.412,-6999,59.707,-6999,-24.774,39.56,5,27.699,15,0,10.553,85.076,371.258,3.418,1,11.33,283.891,1145,604.225,-6999,134.85,116.234,341.586,545.687,3.739,-6999,-6999,371.258,3.2,-6999,-6999,-6999,-6999
2004,0,127.70833,127,1700,0.316,28.045,287.746,5.324,-9999,-2.388,-9999,149.079,-6999,68.548,-6999,-42.558,38.939,5,28.13,15,0,11.02,85.063,370.802,3.372,0.67,11,215.196,908,493.689,-6999,110.2,99.608,349.17,528.056,3.983,-6999,-6999,370.802,3.2,-6999,-6999,-6999,-6999
2004,0,127.72917,127,1730,0.307,27.656,283.569,6.71,-9999,-2.163,-9999,143.495,-6999,61.753,-6999,-54.692,38.005,5,28.455,15,0,11.784,85.062,370.271,3.268,0.67,10.67,145.113,649.75,395.949,-6999,88.15,87.221,345.737,509.352,4.31,-6999,-6999,370.271,3.2,-6999,-6999,-6999,-6999
2004,-1,127.75000,127,1800,0.325,27.203,281.697,5.428,-9999,-9999,-9999,79.389,-6999,42.5,-6999,-71.519,36.679,5,28.722,15,0,12.142,85.071,370.105,3.17,0.67,10,17.692,394,231.074,-6999,52.19,60.433,335.998,488.948,4.376,-6999,-6999,370.105,3.2,-6999,-6999,-6999,-6999
2004,0,127.77083,127,1830,0.299,26.674,296.989,5.824,-9999,-0.486,-9999,30.629,-6999,24.83,-6999,-87.117,34.895,5,28.875,15,0,12.663,85.073,370.038,3.055,0.5,10,-74.44,147.6,91.908,-6999,20.57,29.945,329.883,466.286,4.506,-6999,-6999,370.038,3.2,-6999,-6999,-6999,-6999
2004,0,127.79167,127,1900,0.211,25.469,292.472,4.587,-9999,0.53,-9999,-11.472,-6999,9.487,-6999,-101.651,32.927,5,28.93,15,0,13.779,85.085,370.461,2.808,0.33,10,-118.711,31.67,15.936,-6999,4.57,8.168,320.63,447.109,4.73,-6999,-6999,370.461,3.2,-6999,-6999,-6999,-6999
2004,0,127.81250,127,1930,0.051,24.465,290.37,3.426,-9999,0.121,-9999,-2.975,-6999,1.839,-6999,-95.013,31.107,5,28.874,15,0,14.306,85.097,371.029,2.629,0.33,10,-122.628,2.52,-3.804,-6999,1.105,3.042,316.951,432.733,4.663,-6999,-6999,371.029,3.2,-6999,-6999,-6999,-6999
2004,0,127.83333,127,2000,0.102,23.551,331.055,3.225,-9999,0.348,-9999,-5.65,-6999,2.205,-6999,-87.774,29.457,5,28.699,15,0,14.783,85.11,372.398,2.475,0,10,-117.786,-0.45,-4.417,-6999,0.84,3.457,314.95,424.862,4.595,-6999,-6999,372.398,3.2,-6999,-6999,-6999,-6999
2004,0,127.85417,127,2030,0.142,22.93,351.64,4.505,-9999,0.914,-9999,-13.53,-6999,2.484,-6999,-77.386,28.07,5,28.467,15,0,15.366,85.129,373.576,2.367,0,10,-112.673,-0.77,-3.308,-6999,0.795,3.246,313.993,420.112,4.664,-6999,-6999,373.576,3.2,-6999,-6999,-6999,-6999
2004,0,127.87500,127,2100,0.144,22.742,350.346,4.574,-9999,0.687,-9999,-9.859,-6999,2.474,-6999,-66.427,26.94,5,28.162,15,0,15.304,85.163,373.068,2.342,0,10,-110.574,-0.87,-2.936,-6999,0.57,3.417,312.938,417.159,4.568,-6999,-6999,373.068,3.2,-6999,-6999,-6999,-6999
2004,0,127.89583,127,2130,0.175,22.576,334.972,4.912,-9999,1.185,-9999,-23.113,-6999,3.627,-6999,-58.04,25.997,5,27.81,15,0,15.264,85.191,372.728,2.32,0,10,-110.086,-0.87,-3.204,-6999,0.325,3.18,312.542,416.243,4.494,-6999,-6999,372.728,3.2,-6999,-6999,-6999,-6999
2004,0,127.91667,127,2200,0.093,21.754,345.864,3.846,-9999,0.105,-9999,-5.596,-6999,0.946,-6999,-51.738,25.187,5,27.469,15,0,16.256,85.213,373.925,2.181,0,10.5,-106.823,-0.87,-4.458,-6999,0.34,2.037,309.708,410.036,4.513,-6999,-6999,373.925,3.2,-6999,-6999,-6999,-6999
2004,-1,127.93750,127,2230,0.261,20.483,16.984,2.608,-9999,-9999,-9999,-42.538,-6999,9.204,-6999,-55.79,24.409,5,27.092,15,0,17.94,85.221,376.549,1.977,0,10.67,-103.609,-0.87,-3.825,-6999,0.205,3.074,305.934,402.643,4.517,-6999,-6999,376.549,3.2,-6999,-6999,-6999,-6999
2004,0,127.95833,127,2300,0.14,21.885,7.564,3.032,-9999,0.071,-9999,-3.247,-6999,0.162,-6999,-51.92,23.665,5,26.755,15,0,15.17,85.212,372.734,2.227,0,11,-101.832,-0.87,-2.544,-6999,0.01,3.862,308.495,403.92,4.224,-6999,-6999,372.734,3.2,-6999,-6999,-6999,-6999
2004,0,127.97917,127,2330,0.156,22.037,13.457,2.619,-9999,0.166,-9999,-5.579,-6999,0.507,-6999,-45.416,23.03,5,26.38,15,0,14.92,85.211,372.206,2.254,0,11,-101.607,-0.87,-3.018,-6999,0.005,3.634,308.065,403.02,4.169,-6999,-6999,372.206,3.2,-6999,-6999,-6999,-6999
2004,0,128.00000,128,000,0.171,21.999,11.678,2.558,-9999,0.021,-9999,-2.549,-6999,0.065,-6999,-43.726,22.457,5,26.05,15,0,14.887,85.204,371.569,2.25,0,11,-100.58,-0.87,-2.548,-6999,0.01,4.037,307.851,401.846,4.144,-6999,-6999,371.569,3.2,-6999,-6999,-6999,-6999
2004,0,128.02083,128,030,0.139,22.05,19.784,2.326,-9999,-0.022,-9999,-1.694,-6999,0.091,-6999,-42.464,21.929,5,25.697,15,0,14.825,85.199,371.402,2.258,0,11,-98.899,-0.87,-2.867,-6999,0.015,3.656,307.897,400.273,4.132,-6999,-6999,371.402,3.2,-6999,-6999,-6999,-6999
2004,-1,128.04167,128,100,0.058,21.514,353.631,2.122,-9999,-9999,-9999,21.65,-6999,-3.5,-6999,-39.977,21.432,5,25.377,15,0,15.701,85.205,373.243,2.163,0,10.83,-97.7,-0.87,-4.321,-6999,0.07,2.141,305.451,396.69,4.205,-6999,-6999,373.243,3.2,-6999,-6999,-6999,-6999
2004,0,128.06250,128,130,0.038,18.832,308.061,1.867,-9999,0.057,-9999,-4.005,-6999,0.19,-6999,-44.494,20.909,5,25.049,15,0,19.518,85.204,374.232,1.75,0,10.33,-95.89,-0.87,-4.349,-6999,0.039,2.727,299.192,388.007,4.375,-6999,-6999,374.232,3.2,-6999,-6999,-6999,-6999
2004,0,128.08333,128,200,0.054,18.777,315.902,2.121,-9999,0.125,-9999,-2.651,-6999,0.186,-6999,-48.145,20.34,5,24.735,15,0,19.521,85.197,373.297,1.744,0,10,-93.987,-0.87,-2.578,-6999,0,4.197,298.11,385.322,4.356,-6999,-6999,373.297,3.2,-6999,-6999,-6999,-6999
2004,0,128.10417,128,230,0.068,18.658,345.112,3.669,-9999,0.362,-9999,-5.882,-6999,0.731,-6999,-45.082,19.822,5,24.425,15,0,19.871,85.184,374.198,1.723,0,10.17,-93.513,-0.87,-2.583,-6999,0,2.98,297.905,385.855,4.41,-6999,-6999,374.198,3.2,-6999,-6999,-6999,-6999
2004,0,128.12500,128,300,0.035,18.646,354.874,4.04,-9999,-0.09,-9999,-0.894,-6999,-0.204,-6999,-40.324,19.43,5,24.119,15,0,19.947,85.175,373.601,1.72,0,11,-92.929,-0.87,-2.271,-6999,0,2.937,297.625,385.345,4.422,-6999,-6999,373.601,3.2,-6999,-6999,-6999,-6999
2004,0,128.14583,128,330,0.124,18.542,347.94,4.092,-9999,0.496,-9999,-10.778,-6999,0.954,-6999,-38.133,19.09,5,23.817,15,0,20.189,85.153,373.707,1.704,0,10.67,-92.453,-0.87,-2.041,-6999,0,3.032,297.521,384.902,4.452,-6999,-6999,373.707,3.2,-6999,-6999,-6999,-6999
2004,0,128.16667,128,400,0.102,18.204,332.748,3.661,-9999,0.507,-9999,-11.838,-6999,1,-6999,-36.636,18.772,5,23.537,15,0,20.746,85.164,373.975,1.657,0,10,-92.93,-0.87,-2.552,-6999,0,2.96,296.487,383.906,4.48,-6999,-6999,373.975,3.2,-6999,-6999,-6999,-6999
2004,0,128.18750,128,430,0.118,17.434,340.857,3.258,-9999,0.591,-9999,-9.95,-6999,0.892,-6999,-36.498,18.412,5,23.264,15,0,22.089,85.178,374.721,1.551,0,10.17,-92.796,-0.87,-2.623,-6999,0,2.965,294.812,382.021,4.546,-6999,-6999,374.721,3.2,-6999,-6999,-6999,-6999
2004,0,128.20833,128,500,0.102,17.832,338.421,3.191,-9999,0.65,-9999,-12.964,-6999,1.662,-6999,-35.742,18.074,5,23,15,0,21.35,85.183,373.546,1.606,0,10,-92.243,-0.88,-2.183,-6999,0,3.464,295.16,381.757,4.5,-6999,-6999,373.546,3.2,-6999,-6999,-6999,-6999
2004,0,128.22917,128,530,0.115,17.465,359.883,2.595,-9999,0.073,-9999,-2.508,-6999,0.149,-6999,-34.095,17.752,5,22.734,15,0,21.94,85.195,374.103,1.557,0,10,-90.041,6.42,-1.659,-6999,1.025,2.995,293.907,379.295,4.524,-6999,-6999,374.103,3.2,-6999,-6999,-6999,-6999
2004,0,128.25000,128,600,0.145,17.466,7.517,1.954,-9999,0.139,-9999,-3.619,-6999,0.418,-6999,-34.993,17.455,5,22.48,15,0,21.968,85.217,373.782,1.557,0,10,-70.934,64.78,23.906,-6999,8.06,10.417,293.102,377.526,4.528,-6999,-6999,373.782,3.2,-6999,-6999,-6999,-6999
2004,0,128.27083,128,630,0.164,18.286,355.94,1.865,-9999,0.028,-9999,-5.586,-6999,2.825,-6999,-23.255,17.255,5,22.227,15,0,20.806,85.248,373.687,1.664,0,10,-17.789,248.5,106.631,-6999,28.56,31.26,294.187,387.347,4.52,-6999,-6999,373.687,3.2,-6999,-6999,-6999,-6999
2004,0,128.29167,128,700,0.143,18.828,355.083,1.636,-9999,-0.963,-9999,4.439,-6999,12.78,-6999,8.296,17.284,5,21.99,15,0,20.876,85.28,372.827,1.72,0,10.33,60.131,467.6,210.477,-6999,53.27,45.097,296.775,402.026,4.728,-6999,-6999,372.827,3.2,-6999,-6999,-6999,-6999
2004,0,128.31250,128,730,0.142,19.964,324.816,3.248,-9999,-2.036,-9999,23.983,-6999,26.272,-6999,47.799,17.582,5,21.767,15,0,20.206,85.294,370.927,1.861,0,11,146.413,703.55,325.277,-6999,78.9,60.796,300.399,418.468,4.925,-6999,-6999,370.927,3.2,-6999,-6999,-6999,-6999
2004,0,128.33333,128,800,0.204,21.049,323.125,3.262,-9999,-2.186,-9999,45.93,-6999,34.429,-6999,78.863,18.224,5,21.577,15,0,19.143,85.313,369.558,2.017,0,11,234.728,938,445.028,-6999,104.1,78.143,305.391,437.548,5.002,-6999,-6999,369.558,3.2,-6999,-6999,-6999,-6999
2004,0,128.35417,128,830,0.25,22.064,313.691,2.913,-9999,-3.025,-9999,78.825,-6999,48.82,-6999,101.733,19.144,5,21.409,15,0,17.232,85.328,369.533,2.197,0,10.67,312.355,1160,554.582,-6999,128.4,94.323,310.499,458.403,4.798,-6999,-6999,369.533,3.2,-6999,-6999,-6999,-6999
2004,0,128.37500,128,900,0.161,22.872,302.916,3.333,-9999,-2.67,-9999,89.553,-6999,45.322,-6999,118.376,20.439,5,21.3,15,0,16.166,85.329,368.674,2.337,0,10,384.193,1366,658.763,-6999,150.9,111.596,315.525,478.499,4.853,-6999,-6999,368.674,3.2,-6999,-6999,-6999,-6999
2004,0,128.39583,128,930,0.175,24.098,331.409,0.634,-9999,-3.431,-9999,179.124,-6999,56.824,-6999,130.814,22.24,5,21.29,15,0,15.264,85.328,367.682,2.543,0,10,423.246,1547.5,729.622,-6999,170.55,125.526,322.691,503.541,4.971,-6999,-6999,367.682,3.2,-6999,-6999,-6999,-6999
2004,-1,128.41667,128,1000,0.473,25.247,221.356,0.592,-9999,-9999,-9999,237.089,-6999,97.565,-6999,158.3,24.559,5,21.38,15,0,14.721,85.331,368.519,2.741,0.33,9.67,495.074,1710,827.59,-6999,186.5,136.265,330.762,527.013,5.1,-6999,-6999,368.519,3.2,-6999,-6999,-6999,-6999
2004,0,128.43750,128,1030,0.389,25.881,131.063,1.632,-9999,-3.84,-9999,266.585,-6999,151.369,-6999,169.194,27.069,5,21.564,15,0,13.557,85.331,369.626,2.885,1,9,538.876,1838.5,899.441,-6999,199.15,149.906,334.52,545.179,4.681,-6999,-6999,369.626,3.2,-6999,-6999,-6999,-6999
2004,0,128.45833,128,1100,0.182,26.357,98.632,1.773,-9999,-3.411,-9999,245.527,-6999,99.118,-6999,163.4,29.639,5,21.869,15,0,12.915,85.328,369.338,2.99,1,9,571.859,1944,957.161,-6999,209,161.821,337.209,560.69,4.505,-6999,-6999,369.338,3.2,-6999,-6999,-6999,-6999
2004,0,128.47917,128,1130,0.346,27.141,126.449,0.796,-9999,-2.497,-9999,336.401,-6999,122.073,-6999,176.809,32.047,5,22.282,15,0,12.508,85.309,370.304,3.145,1,9.33,583.97,2004,988.23,-6999,213.65,167.562,341.428,578.126,4.517,-6999,-6999,370.304,3.2,-6999,-6999,-6999,-6999
2004,-1,128.50000,128,1200,0.243,27.457,22.295,0.98,-9999,-9999,-9999,227.371,-6999,77.989,-6999,175.391,34.227,5,22.794,15,0,12.301,85.279,371.534,3.212,1.17,10,597.484,2053,1015.59,-6999,217.5,171.474,343.553,590.184,4.518,-6999,-6999,371.534,3.2,-6999,-6999,-6999,-6999
2004,0,128.52083,128,1230,0.611,28.217,354.313,1.472,-9999,-7.545,-9999,289.22,-6999,134.713,-6999,153.236,36.19,5,23.38,15,0,11.887,85.246,370.555,3.373,1.5,10,596.517,2059.5,1026.21,-6999,218.2,174.768,345.872,600.794,4.511,-6999,-6999,370.555,3.2,-6999,-6999,-6999,-6999
2004,-1,128.54167,128,1300,0.345,28.032,14.967,1.725,-9999,-9999,-9999,286.022,-6999,96.365,-6999,132.559,37.782,5,24.015,15,0,11.623,85.218,370.907,3.347,1.5,10,590.337,2054,1023.86,-6999,219.6,176.549,346.537,603.511,4.298,-6999,-6999,370.907,3.2,-6999,-6999,-6999,-6999
2004,0,128.56250,128,1330,0.72,28.497,323.343,0.408,-9999,-2.545,-9999,303.683,-6999,64.49,-6999,124.483,39.279,5,24.7,15,0,11.199,85.187,370.618,3.455,1.5,10,609.86,2117,1049.02,-6999,230.7,183.751,354.019,609.424,4.17,-6999,-6999,370.618,3.2,-6999,-6999,-6999,-6999
2004,0,128.58333,128,1400,0.572,29.146,262.308,2.381,-9999,-2.77,-9999,314.818,-6999,103.019,-6999,139.682,40.432,5,25.387,15,0,10.808,85.166,370.787,3.604,1.33,10,509.823,1725,914.219,-6999,189.6,161.736,366.97,609.63,4.128,-6999,-6999,370.787,3.2,-6999,-6999,-6999,-6999
2004,0,128.60417,128,1430,0.387,28.524,275.666,2.485,-9999,-1.359,-9999,147.091,-6999,73.405,-6999,-65.793,40.254,5,26.09,15,0,11.249,85.139,370.279,3.459,1.5,11,275.369,1143.5,556.094,-6999,126.9,100.55,373.429,553.604,4.224,-6999,-6999,370.279,3.2,-6999,-6999,-6999,-6999
2004,-1,128.62500,128,1500,0.199,28.951,236.847,0.717,-9999,-9999,-9999,139.732,-6999,59.024,-6999,9.903,39.547,5,26.762,15,0,10.621,85.092,370.396,3.571,1,11,187.467,727,447.343,-6999,81,79.284,370.194,550.786,3.974,-6999,-6999,370.396,3.2,-6999,-6999,-6999,-6999
2004,0,128.64583,128,1530,0.505,29.297,219.23,1.948,-9999,-3.288,-9999,221.729,-6999,102.166,-6999,8.288,38.95,5,27.307,15,0,10.538,85.045,370.239,3.646,1.17,11.33,279.419,970.3,559.56,-6999,109.095,100.525,374.812,554.427,4.026,-6999,-6999,370.239,3.2,-6999,-6999,-6999,-6999
2004,0,128.66667,128,1600,0.217,28.63,242.71,3.294,-9999,-2.368,-9999,107.444,-6999,66.784,-6999,-60.711,38.007,5,27.77,15,0,10.853,85.029,369.722,3.496,0.67,11.5,190.402,979,419.218,-6999,112.2,79.544,376.099,525.371,4.034,-6999,-6999,369.722,3.2,-6999,-6999,-6999,-6999
2004,0,128.68750,128,1630,0.344,28.499,270.938,4.854,-9999,-1.302,-9999,65.358,-6999,48.935,-6999,-13.675,37.13,5,28.1,15,0,11.111,85.012,369.297,3.459,1,10.67,63.106,499.05,264.317,-6999,57.255,50.226,359.264,510.25,4.155,-6999,-6999,369.297,3.2,-6999,-6999,-6999,-6999
2004,0,128.70833,128,1700,0.169,28.419,268.05,2.741,-9999,-1.034,-9999,33.336,-6999,35.651,-6999,-103.268,35.707,5,28.36,15,0,11.147,84.99,369.263,3.442,0.17,10.67,46.76,524,238.259,-6999,62.65,49.648,350.486,492.337,4.16,-6999,-6999,369.263,3.2,-6999,-6999,-6999,-6999
2004,0,128.72917,128,1730,0.206,28.975,299.427,4.465,-9999,-1.531,-9999,77.088,-6999,38.869,-6999,-19.915,34.732,5,28.519,15,0,10.836,84.969,369.585,3.567,0.5,12,134.226,531.15,369.417,-6999,72.275,80.591,351.906,506.507,4.129,-6999,-6999,369.585,3.2,-6999,-6999,-6999,-6999
2004,0,128.75000,128,1800,0.179,28.116,303.583,4.152,-9999,-0.047,-9999,17.355,-6999,15.419,-6999,-50.824,34.152,5,28.595,15,0,11.655,84.969,369.162,3.362,0.33,10,-48.655,288,123.177,-6999,37.12,32.078,337.878,477.633,4.371,-6999,-6999,369.162,3.2,-6999,-6999,-6999,-6999
2004,0,128.77083,128,1830,0.203,27.89,311.545,3.852,-9999,-0.136,-9999,0.656,-6999,11.509,-6999,-71.751,32.775,5,28.607,15,0,11.823,84.966,369.065,3.312,0.17,10,-80.784,120.85,69.116,-6999,16.565,21.47,335.65,464.08,4.401,-6999,-6999,369.065,3.2,-6999,-6999,-6999,-6999
2004,0,128.79167,128,1900,0.177,27.006,302.964,4.56,-9999,0.046,-9999,-7.243,-6999,3.034,-6999,-77.584,31.284,5,28.554,15,0,12.611,84.97,369.547,3.117,0.17,10,-110.197,29.51,16.23,-6999,4.26,7.628,331.182,449.982,4.585,-6999,-6999,369.547,3.2,-6999,-6999,-6999,-6999
2004,0,128.81250,128,1930,0.169,25.779,318.423,4.261,-9999,0.725,-9999,-15.628,-6999,3.377,-6999,-81.347,29.857,5,28.459,15,0,13.443,84.981,370.799,2.872,0,10,-118.268,2.06,-3.83,-6999,1.05,2.617,326.379,438.2,4.645,-6999,-6999,370.799,3.2,-6999,-6999,-6999,-6999
2004,0,128.83333,128,2000,0.248,24.764,344.951,4.894,-9999,0.98,-9999,-33.68,-6999,3.912,-6999,-73.375,28.54,5,28.265,15,0,14.206,85.002,371.773,2.68,0,10,-103.641,-0.31,-3.793,-6999,0.84,2.231,335.831,433.448,4.706,-6999,-6999,371.773,3.2,-6999,-6999,-6999,-6999
2004,0,128.85417,128,2030,0.197,24.31,341.562,4.933,-9999,1.06,-9999,-24.532,-6999,4.317,-6999,-59.159,27.524,5,28.049,15,0,14.44,85.019,372.194,2.601,0,10,-104.776,-0.68,-3.218,-6999,0.86,2.765,331.067,429.86,4.669,-6999,-6999,372.194,3.2,-6999,-6999,-6999,-6999
2004,-1,128.87500,128,2100,0.51,24.035,335.995,5.451,-9999,-9999,-9999,-9999,-6999,-9999,-6999,-55.437,26.654,5,27.764,15,0,14.58,85.04,372.048,2.554,0,10,-104.03,-0.81,-3.214,-6999,0.86,2.685,328.179,426.311,4.644,-6999,-6999,372.048,3.2,-6999,-6999,-6999,-6999
2004,-1,128.89583,128,2130,0.399,23.721,318.643,5.846,-9999,-9999,-9999,-9999,-6999,-9999,-6999,-44.92,25.909,5,27.475,15,0,14.806,85.068,372.198,2.499,0,10,-94.791,-0.865,-3.101,-6999,0.83,2.094,336.638,426.235,4.649,-6999,-6999,372.198,3.2,-6999,-6999,-6999,-6999
2004,-1,128.91667,128,2200,0.553,22.405,325.512,4.393,-9999,-9999,-9999,-9999,-6999,-9999,-6999,-43.423,25.275,5,27.175,15,0,16.199,85.102,372.924,2.271,0,10,-101.181,-0.86,-4.241,-6999,0.86,1.818,323.22,418.342,4.74,-6999,-6999,372.924,3.2,-6999,-6999,-6999,-6999
2004,-1,128.93750,128,2230,0.449,21.632,331.856,6.087,-9999,-9999,-9999,-9999,-6999,-9999,-6999,-49.714,24.61,5,26.869,15,0,17.604,85.119,372.185,2.13,0,10,-101.872,-0.865,-3.725,-6999,0.725,2.106,318.123,414.164,4.776,-6999,-6999,372.185,3.2,-6999,-6999,-6999,-6999
