Sitename: Lucky Hills Shrubland Arizona USA
Location: Latitude: 31.7438  Longitude: -110.0522  Elevation (masl): 1370
Principal investigator: Russell Scott
Ecosystem type: OSH Open Shrublands
File creation date: 09APR2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2007,-1,180.70833,180,1700,0.292,32.3,54.87,2.032,-9999,-9999,0,-9999,-6999,-9999,-6999,-60.707,44.9,5,37.8,15,0,20.825,86.139,385.597,3.831,2,9,-5.779,314.063,144.2,-6999,58.159,-9999,-9999,-9999,11.424,-6999,-6999,385.597,3.1,-6999,-6999,-6999,-6999
2007,0,180.72917,180,1730,0.218,33.1,163,0.241,0.071,0.071,0,13.271,-6999,35.401,-6999,-106.407,42.2,5,38,15,0,15.055,86.127,385.087,4.299,1.5,9,-8.66,203.476,97.35,-6999,39.454,-9999,-9999,-9999,10.091,-6999,-6999,385.087,3.1,-6999,-6999,-6999,-6999
2007,0,180.75000,180,1800,0.438,33.08,215.9,1.857,-0.181,-0.181,0,11.881,-6999,42.486,-6999,-67.859,40.7,5,38,15,0,14.975,86.131,385.195,4.298,1,9,-29.77,140.233,67.55,-6999,27.061,-9999,-9999,-9999,9.886,-6999,-6999,385.195,3.1,-6999,-6999,-6999,-6999
2007,0,180.77083,180,1830,0.334,32.595,206.5,3.644,0.039,0.039,0,18.46,-6999,5.973,-6999,-54.439,39.4,5,37.85,15,0,16.521,86.137,384.556,4.107,1,9,-27.19,169.519,90.35,-6999,33.016,-9999,-9999,-9999,10.394,-6999,-6999,384.556,3.1,-6999,-6999,-6999,-6999
2007,0,180.79167,180,1900,0.277,32.78,205.3,2.447,-0.556,-0.556,0,16.749,-6999,13.661,-6999,-44.494,38.5,5,37.7,15,0,16.531,86.143,384.466,4.149,1,9,-24.06,129.003,74.9,-6999,25.352,-9999,-9999,-9999,10.929,-6999,-6999,384.466,3.1,-6999,-6999,-6999,-6999
2007,0,180.81250,180,1930,0.25,31.87,210,2.396,0.094,0.094,0,-10.203,-6999,-0.248,-6999,-47.55,37.25,5,37.5,15,0,17.375,86.166,384.464,3.901,1,9,-87.5,32.202,18.775,-6999,7.643,-9999,-9999,-9999,10.632,-6999,-6999,384.464,3.1,-6999,-6999,-6999,-6999
2007,0,180.83333,180,2000,0.175,30.95,226.9,0.538,0.046,0.046,0,-9.219,-6999,0.995,-6999,-57.756,36.1,5,37.2,15,0,18.627,86.211,384.369,3.647,1,9,-76.3,-0.212,0.668,-6999,0.918,-9999,-9999,-9999,10.711,-6999,-6999,384.369,3.1,-6999,-6999,-6999,-6999
2007,0,180.85417,180,2030,0.109,30.65,286.3,1.008,-0.127,-0.127,0,-3.715,-6999,-1.185,-6999,-58.347,35,5,36.9,15,0,19.449,86.265,384.137,3.548,1,9,-74.65,-0.946,0.079,-6999,0.223,-9999,-9999,-9999,10.974,-6999,-6999,384.137,3.1,-6999,-6999,-6999,-6999
2007,0,180.87500,180,2100,0.209,29.41,125.5,1.668,-0.104,-0.104,0,-29.225,-6999,26.055,-6999,-53.087,34.2,5,36.6,15,0,21.779,86.324,384.303,3.209,1,9,-72.14,-0.946,0.011,-6999,0.054,-9999,-9999,-9999,11.266,-6999,-6999,384.303,3.1,-6999,-6999,-6999,-6999
2007,0,180.89583,180,2130,0.232,27.18,116.7,3.121,0.066,0.066,0,-14.729,-6999,-2,-6999,-61.032,33.1,5,36.3,15,0,27.712,86.379,383.097,2.605,1,9,-104.4,-0.946,0.047,-6999,0.176,-9999,-9999,-9999,12.669,-6999,-6999,383.097,3.1,-6999,-6999,-6999,-6999
2007,0,180.91667,180,2200,0.186,26.71,122.5,0.951,-0.068,-0.068,0,-12.901,-6999,0.013,-6999,-71.153,31.9,5,35.9,15,0,28.209,86.388,383.107,2.517,1,9,-102.1,-0.946,0.247,-6999,0.676,-9999,-9999,-9999,12.573,-6999,-6999,383.107,3.1,-6999,-6999,-6999,-6999
2007,0,180.93750,180,2230,0.229,25.875,82.2,1.575,-0.134,-0.134,0,-13.26,-6999,-11.478,-6999,-69.777,30.85,5,35.6,15,0,29.173,86.398,383.276,2.363,1,8.5,-98.2,-0.946,0.244,-6999,0.817,-9999,-9999,-9999,12.286,-6999,-6999,383.276,3.1,-6999,-6999,-6999,-6999
2007,0,180.95833,180,2300,0.203,24.55,96.3,1.46,0.273,0.273,0,-16.515,-6999,-0.538,-6999,-67.735,29.9,5,35.2,15,0,31.648,86.405,383.54,2.108,0,8,-94.6,-0.946,0.323,-6999,0.987,-9999,-9999,-9999,12.413,-6999,-6999,383.54,3.1,-6999,-6999,-6999,-6999
2007,0,180.97917,180,2330,0.264,24.06,86.6,1.576,-0.022,-0.022,0,0.066,-6999,1.846,-6999,-65.142,29.15,5,34.9,15,0,32.407,86.428,383.995,2.024,0,8,-87.6,-0.946,0.411,-6999,1.115,-9999,-9999,-9999,12.285,-6999,-6999,383.995,3.1,-6999,-6999,-6999,-6999
2007,0,181.00000,181,000,0.221,23.51,80.2,1.203,0.094,0.094,0,-14.028,-6999,-1.549,-6999,-60.661,28.4,5,34.5,15,0,33.601,86.439,384.371,1.924,0,8,-88,-0.946,0.422,-6999,1.283,-9999,-9999,-9999,12.38,-6999,-6999,384.371,3.1,-6999,-6999,-6999,-6999
2007,0,181.02083,181,030,0.212,24.455,131.4,1.686,-0.581,-0.581,0,38.141,-6999,30.608,-6999,-57.804,27.85,5,34.15,15,0,32.715,86.441,384.325,2.063,0,8,-85.8,-0.946,0.329,-6999,1.506,-9999,-9999,-9999,12.624,-6999,-6999,384.325,3.1,-6999,-6999,-6999,-6999
2007,0,181.04167,181,100,0.146,24.96,107.1,1.452,-0.097,-0.097,0,-13.1,-6999,-3.026,-6999,-48.579,27.4,5,33.7,15,0,32.854,86.426,384.156,2.122,0,8,-89.2,-0.946,0.279,-6999,1.499,-9999,-9999,-9999,13.221,-6999,-6999,384.156,3.1,-6999,-6999,-6999,-6999
2007,0,181.06250,181,130,0.289,23.86,105.2,3.25,-0.472,-0.472,0,-10.915,-6999,0.448,-6999,-46.213,26.95,5,33.35,15,0,35.077,86.431,384.471,1.921,0,8,-87.2,-0.946,0.239,-6999,1.506,-9999,-9999,-9999,13.12,-6999,-6999,384.471,3.1,-6999,-6999,-6999,-6999
2007,0,181.08333,181,200,0.201,22.43,100.9,1.916,0.069,0.069,0,0.035,-6999,-6.53,-6999,-48.201,26.5,5,33,15,0,39.189,86.437,385.09,1.65,0,8,-85.9,-0.946,0.044,-6999,1.499,-9999,-9999,-9999,13.245,-6999,-6999,385.09,3.1,-6999,-6999,-6999,-6999
2007,0,181.10417,181,230,0.227,22.17,108.2,2.053,0.087,0.087,0,-10.771,-6999,2.216,-6999,-54.156,25.95,5,32.65,15,0,41.072,86.428,385.616,1.574,0.5,8,-83.1,-0.946,-0.008,-6999,1.601,-9999,-9999,-9999,13.428,-6999,-6999,385.616,3.1,-6999,-6999,-6999,-6999
2007,0,181.12500,181,300,0.129,23.58,141.1,1.411,-0.195,-0.195,0,-16.558,-6999,-2.97,-6999,-50.897,25.5,5,32.3,15,0,40.116,86.421,384.152,1.742,0,8,-83,-0.946,-0.049,-6999,1.622,-9999,-9999,-9999,14.452,-6999,-6999,384.152,3.1,-6999,-6999,-6999,-6999
2007,0,181.14583,181,330,0.104,23.14,113.3,0.93,0.091,0.091,0,-20.947,-6999,-6.784,-6999,-44.505,25.05,5,31.95,15,0,41.831,86.415,384.139,1.648,0,8,-84.4,-0.946,-0.17,-6999,1.622,-9999,-9999,-9999,14.691,-6999,-6999,384.139,3.1,-6999,-6999,-6999,-6999
2007,-1,181.16667,181,400,0.106,22.37,102.8,1.365,-9999,-9999,0,0.204,-6999,9.733,-6999,-46.518,24.6,5,31.6,15,0,43.893,86.415,384.093,1.517,0,8,-83,-0.946,-0.318,-6999,1.608,-9999,-9999,-9999,14.676,-6999,-6999,384.093,3.1,-6999,-6999,-6999,-6999
2007,0,181.18750,181,430,0.124,21.61,96.5,1.257,0.035,0.035,0,-21.025,-6999,-4.4,-6999,-48.802,24.25,5,31.3,15,0,46.096,86.414,384.239,1.392,0,8,-82.3,-0.946,-0.29,-6999,1.615,-9999,-9999,-9999,14.606,-6999,-6999,384.239,3.1,-6999,-6999,-6999,-6999
2007,0,181.20833,181,500,0.114,21.48,61.26,0.805,-0.002,-0.002,0,-23.624,-6999,-5.039,-6999,-49.719,23.8,5,31,15,0,46.87,86.422,384.07,1.361,0,8,-80.4,-0.867,-0.247,-6999,1.622,-9999,-9999,-9999,14.711,-6999,-6999,384.07,3.1,-6999,-6999,-6999,-6999
2007,-1,181.22917,181,530,0.153,20.95,50.76,1.245,-9999,-9999,0,-9999,-6999,-9999,-6999,-48.554,23.4,5,30.7,15,0,48.669,86.434,383.701,1.273,0,8,-77.02,16.347,7.537,-6999,4.357,-9999,-9999,-9999,14.735,-6999,-6999,383.701,3.1,-6999,-6999,-6999,-6999
2007,-1,181.25000,181,600,0.172,21.9,45.73,1.175,-9999,-9999,0,-9999,-6999,-9999,-6999,-44.467,23.1,5,30.4,15,0,45.526,86.436,383.746,1.431,0,8,-47.71,82.11,56.55,-6999,17.911,-9999,-9999,-9999,14.733,-6999,-6999,383.746,3.1,-6999,-6999,-6999,-6999
2007,0,181.27083,181,630,0.214,22.87,86,1.237,0.06,0.06,0,-18.611,-6999,0.027,-6999,-25.097,23.2,5,30.1,15,0,42.491,86.455,384.596,1.603,0,8,5.304,263.98,156.05,-6999,48.013,-9999,-9999,-9999,14.648,-6999,-6999,384.596,3.1,-6999,-6999,-6999,-6999
2007,0,181.29167,181,700,0.204,24.88,118,1.337,-0.472,-0.472,0,54.249,-6999,4.924,-6999,-0.594,23.8,5,29.8,15,0,37.005,86.483,384.849,1.981,0,8,68.33,467.142,262,-6999,86.969,-9999,-9999,-9999,14.665,-6999,-6999,384.849,3.1,-6999,-6999,-6999,-6999
2007,0,181.31250,181,730,0.172,26.37,235.2,1.218,-0.361,-0.361,0,56.421,-6999,39.507,-6999,37.663,25.6,5,29.5,15,0,31.437,86.496,385.74,2.356,0,8,134.1,597.088,374.75,-6999,128.643,-9999,-9999,-9999,14.002,-6999,-6999,385.74,3.1,-6999,-6999,-6999,-6999
2007,0,181.33333,181,800,0.229,27.59,238.6,1.724,-0.134,-0.134,0,70.327,-6999,12.935,-6999,65.491,27.9,5,29.3,15,0,27.488,86.516,385.974,2.676,1,8,204.7,885.772,487.2,-6999,170.896,-9999,-9999,-9999,12.713,-6999,-6999,385.974,3.1,-6999,-6999,-6999,-6999
2007,0,181.35417,181,830,0.236,28.69,262.8,1.277,0.385,0.385,0,104.904,-6999,45.84,-6999,93.811,30.45,5,29.15,15,0,22.995,86.526,385.811,3.03,1,8,273.3,937.876,597.95,-6999,212.61,-9999,-9999,-9999,11.741,-6999,-6999,385.811,3.1,-6999,-6999,-6999,-6999
2007,0,181.37500,181,900,0.369,29.63,305.3,2.46,0.528,0.528,0,146.776,-6999,27.279,-6999,114.649,33.1,5,29.1,15,0,18.377,86.523,385.896,3.391,1,8,337.9,1271.164,702,-6999,252.172,-9999,-9999,-9999,9.827,-6999,-6999,385.896,3.1,-6999,-6999,-6999,-6999
2007,0,181.39583,181,930,0.308,30.465,310.1,2.808,0.582,0.582,0,165.185,-6999,16.529,-6999,127.383,35.8,5,29.25,15,0,16.294,86.512,386.109,3.649,1,8,400.7,1440.502,798.5,-6999,288.167,-9999,-9999,-9999,9.26,-6999,-6999,386.109,3.1,-6999,-6999,-6999,-6999
2007,0,181.41667,181,1000,0.332,31.52,317.6,3.029,0.748,0.748,0,183.302,-6999,23.58,-6999,134.407,38.5,5,29.4,15,0,13.8,86.519,386.841,3.99,1,8,452.4,1590.078,886,-6999,320.933,-9999,-9999,-9999,8.34,-6999,-6999,386.841,3.1,-6999,-6999,-6999,-6999
2007,0,181.43750,181,1030,0.351,32.345,326.2,3.018,0.63,0.63,0,246.439,-6999,23.909,-6999,148.998,41.1,5,29.7,15,0,12.459,86.507,386.83,4.246,2,8,496.1,1713.151,957.5,-6999,347.375,-9999,-9999,-9999,7.67,-6999,-6999,386.83,3.1,-6999,-6999,-6999,-6999
2007,0,181.45833,181,1100,0.403,32.95,339.1,3.891,1.228,1.228,0,244.939,-6999,28.962,-6999,152.212,43.4,5,30.1,15,0,11.643,86.499,386.706,4.434,2,8,532.2,1819.156,1016,-6999,369.107,-9999,-9999,-9999,7.173,-6999,-6999,386.706,3.1,-6999,-6999,-6999,-6999
2007,0,181.47917,181,1130,0.416,33.435,337.3,4.082,1.228,1.228,0,282.674,-6999,17.279,-6999,145.719,45.5,5,30.6,15,0,11.103,86.483,386.803,4.584,2,8,563.8,1891.923,1055.5,-6999,384.245,-9999,-9999,-9999,6.991,-6999,-6999,386.803,3.1,-6999,-6999,-6999,-6999
2007,0,181.50000,181,1200,0.453,33.81,321.1,4.331,1.385,1.385,0,267.288,-6999,12.792,-6999,143.872,47.4,5,31.2,15,0,10.951,86.46,386.623,4.69,2,8,583.8,1940.433,1080,-6999,394.539,-9999,-9999,-9999,6.942,-6999,-6999,386.623,3.1,-6999,-6999,-6999,-6999
2007,0,181.52083,181,1230,0.45,34.105,330.3,4.031,1.519,1.519,0,265.123,-6999,13.02,-6999,136.676,49.2,5,31.8,15,0,11.056,86.439,386.774,4.762,2,8,590.7,1958.85,1088,-6999,399.182,-9999,-9999,-9999,7.187,-6999,-6999,386.774,3.1,-6999,-6999,-6999,-6999
2007,0,181.54167,181,1300,0.495,34.69,303.2,4.048,0.9,0.9,0,314.501,-6999,13.036,-6999,132.793,50.8,5,32.4,15,0,10.95,86.409,387.114,4.925,2,8,590.7,1953.909,1085,-6999,398.98,-9999,-9999,-9999,7.35,-6999,-6999,387.114,3.1,-6999,-6999,-6999,-6999
2007,0,181.56250,181,1330,0.419,34.975,306.8,3.565,1.266,1.266,0,302.455,-6999,15.215,-6999,115.236,52.05,5,33.1,15,0,10.855,86.379,387.551,5.009,2,8,576.3,1923.814,1064.5,-6999,397.904,-9999,-9999,-9999,7.422,-6999,-6999,387.551,3.1,-6999,-6999,-6999,-6999
2007,0,181.58333,181,1400,0.388,35.54,302.1,3.158,0.991,0.991,0,285.586,-6999,17.278,-6999,109.267,53,5,33.8,15,0,10.588,86.348,387.841,5.183,3,9,550.4,1868.566,1030,-6999,390.099,-9999,-9999,-9999,7.463,-6999,-6999,387.841,3.1,-6999,-6999,-6999,-6999
2007,0,181.60417,181,1430,0.451,36.23,300.9,3.444,1.155,1.155,0,313.743,-6999,14.832,-6999,96.954,53.6,5,34.45,15,0,10.262,86.302,387.897,5.403,3,8.5,516.5,1780.527,975.5,-6999,375.835,-9999,-9999,-9999,7.469,-6999,-6999,387.897,3.1,-6999,-6999,-6999,-6999
2007,0,181.62500,181,1500,0.492,36.05,320.3,3.859,1.137,1.137,0,283.085,-6999,10.757,-6999,80.554,53.7,5,35.1,15,0,10.258,86.279,387.227,5.35,3,9,474.8,1672.726,909,-6999,351.883,-9999,-9999,-9999,7.391,-6999,-6999,387.227,3.1,-6999,-6999,-6999,-6999
2007,0,181.64583,181,1530,0.381,36.195,319.1,3.513,0.969,0.969,0,246.814,-6999,9.966,-6999,55.451,53.5,5,35.7,15,0,10.03,86.25,387.649,5.407,3,9,420.9,1536.177,828,-6999,320.866,-9999,-9999,-9999,7.261,-6999,-6999,387.649,3.1,-6999,-6999,-6999,-6999
2007,0,181.66667,181,1600,0.52,36.49,305.2,4.157,0.948,0.948,0,241.357,-6999,9.402,-6999,43.274,53,5,36.3,15,0,9.706,86.224,387.534,5.515,2,9,361.6,1378.966,736,-6999,285.543,-9999,-9999,-9999,7.05,-6999,-6999,387.534,3.1,-6999,-6999,-6999,-6999
2007,0,181.68750,181,1630,0.496,36.41,276.9,3.826,0.553,0.553,0,226.974,-6999,10.069,-6999,30.225,52.15,5,36.85,15,0,9.63,86.18,387.678,5.495,2,9,291.2,1201.542,635.1,-6999,246.856,-9999,-9999,-9999,6.921,-6999,-6999,387.678,3.1,-6999,-6999,-6999,-6999
2007,0,181.70833,181,1700,0.571,36.28,294,4.857,0.762,0.762,0,182.084,-6999,6.455,-6999,12.52,50.9,5,37.3,15,0,9.614,86.15,387.501,5.457,2,9,219.9,1006.151,526.2,-6999,204.805,-9999,-9999,-9999,6.877,-6999,-6999,387.501,3.1,-6999,-6999,-6999,-6999
2007,0,181.72917,181,1730,0.482,35.97,303.5,4.562,1.185,1.185,0,148.922,-6999,5.598,-6999,-15.023,49.3,5,37.65,15,0,9.591,86.136,386.159,5.367,2,9,124.6,800.429,415.55,-6999,161.005,-9999,-9999,-9999,6.775,-6999,-6999,386.159,3.1,-6999,-6999,-6999,-6999
2007,0,181.75000,181,1800,0.495,35.64,310.5,5.21,0.255,0.255,0,118.123,-6999,4.579,-6999,-31.425,47.4,5,37.9,15,0,9.696,86.134,386.768,5.264,2,9,-94.9,585.005,301.5,-6999,115.321,-9999,-9999,-9999,6.71,-6999,-6999,386.768,3.1,-6999,-6999,-6999,-6999
2007,0,181.77083,181,1830,0.6,35.03,302.4,5.669,0.278,0.278,0,79.025,-6999,1.227,-6999,-51.18,45.15,5,38.15,15,0,9.697,86.127,385.753,5.089,2,9,-46.59,370.479,193.2,-6999,70.66,-9999,-9999,-9999,6.52,-6999,-6999,385.753,3.1,-6999,-6999,-6999,-6999
2007,0,181.79167,181,1900,0.643,34.19,297.6,6.386,0.11,0.11,0,29.785,-6999,1.509,-6999,-68.59,42.5,5,38.2,15,0,9.777,86.119,385.483,4.853,2,9,-64.84,179.67,93.8,-6999,32.403,-9999,-9999,-9999,6.261,-6999,-6999,385.483,3.1,-6999,-6999,-6999,-6999
2007,0,181.81250,181,1930,0.525,32.995,301.9,5.087,-0.022,-0.022,0,-10.317,-6999,-0.341,-6999,-80.422,40.15,5,38.15,15,0,9.936,86.144,385.632,4.531,1,9,-117.3,42.632,21.135,-6999,9.197,-9999,-9999,-9999,5.972,-6999,-6999,385.632,3.1,-6999,-6999,-6999,-6999
2007,0,181.83333,181,2000,0.358,31.66,314.1,3.769,-0.172,-0.172,0,-27.399,-6999,0.698,-6999,-87.313,38,5,38,15,0,10.428,86.169,385.343,4.179,1,9,-125.4,0.048,0.942,-6999,1.202,-9999,-9999,-9999,5.837,-6999,-6999,385.343,3.1,-6999,-6999,-6999,-6999
2007,0,181.85417,181,2030,0.367,30.92,322.4,4.013,-0.25,-0.25,0,-37.224,-6999,-0.025,-6999,-85.812,36.3,5,37.8,15,0,11.067,86.195,385.032,3.978,1,9,-120.4,-0.93,0.211,-6999,0.399,-9999,-9999,-9999,5.986,-6999,-6999,385.032,3.1,-6999,-6999,-6999,-6999
2007,0,181.87500,181,2100,0.302,30.28,326,3.52,-0.275,-0.275,0,-34.791,-6999,0.234,-6999,-79.706,34.9,5,37.5,15,0,11.702,86.232,384.78,3.808,1,9,-116.5,-0.946,0.06,-6999,0.027,-9999,-9999,-9999,6.231,-6999,-6999,384.78,3.1,-6999,-6999,-6999,-6999
2007,0,181.89583,181,2130,0.135,28.385,329.1,2.145,0.005,0.005,0,-17.416,-6999,-0.238,-6999,-74.673,33.55,5,37.15,15,0,12.845,86.261,384.863,3.369,1,9,-112,-0.946,0.126,-6999,0.054,-9999,-9999,-9999,6.27,-6999,-6999,384.863,3.1,-6999,-6999,-6999,-6999
2007,0,181.91667,181,2200,0.106,27.05,323,1.885,0.119,0.119,0,-12.835,-6999,-0.82,-6999,-77.69,32.3,5,36.8,15,0,13.568,86.279,384.909,3.091,1,9,-107.1,-0.946,0.257,-6999,0.271,-9999,-9999,-9999,6.22,-6999,-6999,384.909,3.1,-6999,-6999,-6999,-6999
2007,0,181.93750,181,2230,0.074,26.07,298.4,1.492,-0.036,-0.036,0,-7.198,-6999,0.455,-6999,-77.67,31.15,5,36.35,15,0,14.09,86.29,384.92,2.9,1,8.5,-101.6,-0.946,0.239,-6999,0.649,-9999,-9999,-9999,6.161,-6999,-6999,384.92,3.1,-6999,-6999,-6999,-6999
2007,0,181.95833,181,2300,0.083,25.84,306.5,1.535,-0.088,-0.088,0,-8.719,-6999,0.036,-6999,-76.28,30.1,5,35.9,15,0,13.638,86.293,384.881,2.876,0,8,-98.3,-0.946,0.329,-6999,0.878,-9999,-9999,-9999,5.838,-6999,-6999,384.881,3.1,-6999,-6999,-6999,-6999
2007,0,181.97917,181,2330,0.158,26.01,317.2,2.358,-0.197,-0.197,0,-26.959,-6999,3.968,-6999,-70.253,29.15,5,35.55,15,0,12.57,86.307,384.661,2.941,0,9,-96.3,-0.946,0.447,-6999,0.919,-9999,-9999,-9999,5.313,-6999,-6999,384.661,3.1,-6999,-6999,-6999,-6999
2007,0,182.00000,182,000,0.157,25.74,326.4,2.333,-0.22,-0.22,0,-26.8,-6999,1.017,-6999,-61.251,28.5,5,35.1,15,0,12.283,86.293,384.76,2.903,0,9,-97.8,-0.946,0.433,-6999,0.918,-9999,-9999,-9999,5.016,-6999,-6999,384.76,3.1,-6999,-6999,-6999,-6999
2007,0,182.02083,182,030,0.133,25.47,343.2,2.276,-0.122,-0.122,0,-23.514,-6999,0.426,-6999,-57.494,27.75,5,34.65,15,0,12.473,86.285,384.744,2.851,0,8.5,-94.3,-0.946,0.376,-6999,1.094,-9999,-9999,-9999,5.043,-6999,-6999,384.744,3.1,-6999,-6999,-6999,-6999
